,state,city,county,year,day_of_week,hospital,lighting,population_type,weather,fatalities
0,Utah,CORINNE,BOX ELDER (3),2022,Monday,0,Daylight,Rural,Cloudy,1
0,Utah,PARAGONAH,IRON (21),2022,Thursday,0,Daylight,Rural,Cloudy,1
0,Utah,VERNAL,UINTAH (47),2022,Saturday,0,Dark - Not Lighted,Urban,Cloudy,1
0,Utah,DELTA,MILLARD (27),2022,Saturday,1,Daylight,Rural,Clear,1
0,Utah,PROVO,UTAH (49),2022,Tuesday,0,Daylight,Urban,Clear,1
0,Utah,Other,WASATCH (51),2022,Monday,1,Daylight,Rural,Clear,1
0,Utah,OREM,UTAH (49),2022,Monday,1,Dark - Not Lighted,Urban,Clear,1
0,Utah,PROVO,UTAH (49),2022,Sunday,1,Daylight,Urban,Clear,1
0,Utah,PLEASANT VIEW,WEBER (57),2022,Tuesday,1,Dark - Not Lighted,Urban,Cloudy,1
0,Utah,Other,UTAH (49),2022,Monday,1,Dark - Lighted,Urban,Clear,1
0,Utah,HURRICANE,WASHINGTON (53),2022,Thursday,0,Dusk,Urban,Clear,1
0,Utah,TOOELE,TOOELE (45),2022,Tuesday,1,Dark - Lighted,Urban,Clear,1
0,Utah,MANILA,DAGGETT (9),2022,Friday,1,Dark - Not Lighted,Rural,Clear,1
0,Utah,LOGAN,CACHE (5),2022,Thursday,0,Daylight,Rural,Clear,1
0,Utah,SOUTH SALT LAKE,SALT LAKE (35),2022,Saturday,1,Daylight,Urban,Cloudy,1
0,Utah,ELWOOD,BOX ELDER (3),2022,Tuesday,1,Daylight,Urban,Clear,1
0,Utah,BIG WATER,KANE (25),2022,Monday,1,Dark - Not Lighted,Rural,Clear,1
0,Utah,MOAB,GRAND (19),2022,Wednesday,1,Daylight,Urban,Rain,1
0,Utah,DELTA,MILLARD (27),2022,Saturday,1,Daylight,Rural,Clear,1
0,Utah,ELWOOD,BOX ELDER (3),2022,Friday,1,Daylight,Urban,Clear,1
0,Utah,TOOELE,TOOELE (45),2022,Sunday,1,Daylight,Urban,Clear,1
0,Utah,LOGAN,CACHE (5),2022,Wednesday,1,Daylight,Urban,Clear,1
0,Utah,MEXICAN HAT,SAN JUAN (37),2022,Friday,0,Daylight,Rural,Cloudy,1
0,Utah,RANDLETT,UINTAH (47),2022,Saturday,0,Dark - Not Lighted,Rural,Cloudy,1
0,Utah,OREM,UTAH (49),2022,Sunday,0,Dark - Lighted,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Friday,0,Dark - Not Lighted,Urban,Clear,1
0,Utah,SPANISH FORK,UTAH (49),2022,Monday,0,Dark - Not Lighted,Rural,Clear,1
0,Utah,LA SAL,SAN JUAN (37),2022,Wednesday,1,Daylight,Rural,Cloudy,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Saturday,1,Daylight,Rural,Clear,1
0,Utah,NEPHI,JUAB (23),2022,Tuesday,0,Dark - Not Lighted,Rural,Clear,1
0,Utah,SANDY CITY,SALT LAKE (35),2022,Saturday,1,Dark - Lighted,Urban,Clear,1
0,Utah,EPHRAIM,SANPETE (39),2022,Saturday,1,Dark - Not Lighted,Rural,Clear,1
